id,lastpage,randnumber,behaperf1,behaperf2,behaperf3,behaperf4,behaperf5,behaperfcont1,behaperfcont2,behaperfcont3,behaperfcont4,behaperfcont5,behacons2,behacons1,behacons3,behacons4,behacons5,behaconscont1,behaconscont2,behaconscont3,behaconscont4,behaconscont5,verdperf1,verdperf2,verdperf3,verdperf4,verdperf5,verdperfcont1,verdperfcont2,verdperfcont3,verdperfcont4,verdperfcont5,verdcons2,verdcons1,verdcons3,verdcons4,verdcons5,verdconscont1,verdconscont2,verdconscont3,verdconscont4,verdconscont5,exerperf1,exerperf2,exerperf3,exerperf4,exerperf5,exerperfcont1,exerperfcont2,exerperfcont3,exerperfcont4,exerperfcont5,exercons1,exercons2,exercons3,exercons4,exercons5,exerconscont1,exerconscont2,exerconscont3,exerconscont4,exerconscont5,commperf1,commperf2,commperf3,commperf4,commperf5,commperfcont1,commperfcont2,commperfcont3,commperfcont4,commperfcont5,commcons1,commcons2,commcons3,commcons4,commcons5,commconscont1,commconscont2,commconscont3,commconscont4,commconscont5,expoperf1,expoperf2,expoperf3,expoperf4,expoperf5,expoperfcont1,expoperfcont2,expoperfcont3,expoperfcont4,expoperfcont5,expocons1,expocons2,expocons3,expocons4,expocons5,expoconscont1,expoconscont2,expoconscont3,expoconscont4,expoconscont5,gen1,gen2,gen3,age,edu1,edu2,edu3,edu4,edu5,edu6,edu7,edu8,edu9,edu10,edu11,edu12,edu13,edu14,edu15,edu16
1,67,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,Y,Y,N,,,,Y,,,,,,,,,,,,,,Y,35,,,Y,,,,,,,,,,,,,
2,67,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,N,Y,Y,,,,Y,,,,Y,53,,,,,,Y,,,,,,,,,,
3,64,3,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,67,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,N,N,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,55,,,,,,,Y,,,,,,,,,
5,67,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,N,N,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,36,,,,,,,Y,,,,,,,,,
6,64,3,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,N,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,64,3,,,,,,,,,,,,,,,,,,,,,Y,Y,N,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,67,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,N,N,N,Y,,,,Y,,,,,,,,,,,,Y,,,43,,,,,,,Y,,,,,,,,,
9,67,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,Y,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,36,,,,,,Y,,,,,,,,,,
10,64,2,,,,,,,,,,,Y,N,Y,N,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
